Study_ID,Species_scientific_name,Species_common_name,Comment,Class_scientific_name
S_092,Aetobatus narinari,Spotted eagle ray,The authors did not report the common name,Chondrichthyes
S_092,Dasyatis americana,Southern stingray,The authors did not report the common name,Chondrichthyes
S_092,Dasyatis fluviorum,Estuary stingray,The authors did not report the common name,Chondrichthyes
S_092,Himantura astra,Black-spotted whipray,The authors did not report the common name,Chondrichthyes
S_092,Himantura toshi,Brown whipray,The authors did not report the common name,Chondrichthyes
S_092,Himantura uarnak,Reticulate whipray,The authors did not report the common name,Chondrichthyes
S_092,Neotrygon kuhlii,Bluespotted stingray,The authors did not report the common name,Chondrichthyes
S_093,Danio rerio,Zebrafish,The authors did not report the scientific name,Actinopterygii
S_093,Caenorhabditis elegans,Roundworm,The authors did not report the common name,Chromadorea
S_093,Oryzias melastigma,Ricefish,The authors did not report the common name,Actinopterygii
S_093,Daphnia magna,Water flea,The authors did not report the common name,Branchiopods
S_093,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_093,Mus musculus,Mice,The authors did not report the scientific name,Mammalia
S_094,Rattus norvegicus,Sprague Dawley rat,The authors did not report the scientific name,Mammalia
S_094,Rattus norvegicus,Wistar rat,The authors did not report the scientific name,Mammalia
S_094,Leporidae,Rabbit,The authors did not report the scientific name,Mammalia
S_094,Macaca fascicularis,Cynomolgus monkey,The authors did not report the scientific name,Mammalia
S_094,Sus domesticus,Pig,The authors did not report the scientific name,Mammalia
S_103,Strix aluco,Tawny Owl,na,Aves
S_103,Falco peregrinus,Peregrine falco,na,Aves
S_103,Fulmarus glacialis,Northern fulmar,na,Aves
S_103,Uria lomvia,Thick-billed murre,na,Aves
S_103,Enhydra lutris kenyoni,Northern Sea Otters,na,Mammalia
S_103,Phoca vitulina,Harbor Seal,na,Mammalia
S_103,Phoca hispida,Ringed seal,na,Mammalia
S_103,Ursus maritimus,Polar Bear,na,Mammalia
S_103,Ardea herodias,Great blue heron,na,Aves
S_103,Tursiops truncatus,Bottlenose Dolphin,na,Mammalia
S_103,Capreolus capreolus,Roe Deer,na,Mammalia
S_103,Larus argentatus,Herring gull,na,Aves
S_103,Phocoena phocoena,Harbor porpoise,na,Mammalia
S_103,Salvelinus namaycush,Lake trout,na,Actinopterygii
S_103,Peponocephala electra,Melon-headed Whale,na,Mammalia
S_103,Uria aalge,Guillemot,na,Aves
S_103,Pusa sibirica,Baikal seal,na,Mammalia
S_103,Gallus domesticus,Hen,na,Aves
S_103,Bos taurus,Cow,na,Mammalia
S_103,Oncorhynchus mykiss,Rainbow trout,na,Actinopterygii
S_103,Haliaeetus albicilla,White-tailed sea eagle,na,Aves
S_103,Enhydra lutris nereis,Sea otter,na,Mammalia
S_103,Halichoerus grypus,Grey seal,na,Mammalia
S_103,Anguilla anguilla,Eel,na,Actinopterygii
S_103,Cerorhinca monocerata,Rhinoceros auklet,na,Aves
S_103,Oceanodroma leucorhoa,Leach’s storm petrel,na,Aves
S_103,Phalacrocorax auritus,Double-crested cormorant,na,Aves
S_103,Mytilus edulis,Mussel,na,Bivalvia
S_103,Cyprinus carpio,Carp,na,Actinopterygii
S_103,Caretta caretta,Loggerhead sea turtle,na,Reptilia
S_103,Delphinapterus leucas,Beluga Whale,na,Mammalia
S_103,Phoca hisida,Ringed seal,na,Mammalia
S_103,Lutra lutra,Otter,na,Mammalia
S_103,Globicephala melas,Pilot Whale,na,Mammalia
S_103,Lagenorhynchus acutus,Atlantic white-sided dolphin,na,Mammalia
S_103,Cystophora cristata,Hooded Seal,na,Mammalia
S_103,Balaenoptera physalus,Fin whale,na,Mammalia
